cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM404,4-Methyl-2-oxopentanoate,-79.3,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
metanetx.chemical:MNXM261,3-Phospho-D-glyceroyl phosphate,-2206.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]([H])(C(=O)OP(=O)(O[H])O[H])C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM10881,CO,-119.9,7.0,0.25,14.0,298.15,0,Alberty (2006),,[C-]#[O+]
metanetx.chemical:MNXM362,Lactose,-671.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@]2([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]
metanetx.chemical:MNXM207,Nitrate,-109.5,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]O[N+](=O)[O-]
metanetx.chemical:MNXM458,Butanoic acid,-68.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM59041,L-Sorbose,-423.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM108,Hexadecanoic acid,1002.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM58018,Isomaltose,-691.3,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC1([H])O[C@]([H])(C([H])([H])O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H]
metanetx.chemical:MNXM341,D-Gluconic acid,-680.9,7.0,0.25,14.0,298.15,1,Thauer (1977),,[H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM189,D-Glycerate,-458.1,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM213,Hypoxanthine,252.3,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]c1nc2c(nc([H])n2[H])c(=O)n1[H]
