cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM56309,Hexachloroethane,-49.6,7.0,0.25,14.0,298.15,1,Dolfing (1994),,ClC(Cl)(Cl)C(Cl)(Cl)Cl
metanetx.chemical:MNXM73139,Pentachloroethane,-27.5,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C(Cl)(Cl)C(Cl)(Cl)Cl
metanetx.chemical:MNXM32006,"1,1,2-Trichloroethane",44.6,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])(Cl)C([H])(Cl)Cl
metanetx.chemical:MNXM4523,Monochlorobenzene,306.0,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c([H])c([H])c(Cl)c([H])c1[H]
metanetx.chemical:MNXM13824,"1,2-Dichlorobenzene",247.3,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c([H])c([H])c(Cl)c(Cl)c1[H]
metanetx.chemical:MNXM13841,"1,3-Dichlorobenzene",244.8,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c([H])c(Cl)c([H])c(Cl)c1[H]
metanetx.chemical:MNXM4219,"1,4-Dichlorobenzene",241.3,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c([H])c(Cl)c([H])c([H])c1Cl
metanetx.chemical:MNXM13819,"1,2,3-Trichlorobenzene",193.9,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c([H])c(Cl)c(Cl)c(Cl)c1[H]
metanetx.chemical:MNXM4214,"1,2,4-Trichlorobenzene",182.7,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c([H])c(Cl)c(Cl)c([H])c1Cl
metanetx.chemical:MNXM32237,"1,3,5-Trichlorobenzene",179.0,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c(Cl)c([H])c(Cl)c([H])c1Cl
metanetx.chemical:MNXM9521,"1,2,3,4-Tetrachlorobenzene",137.3,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c([H])c(Cl)c(Cl)c(Cl)c1Cl
metanetx.chemical:MNXM32049,"1,2,3,5-Tetrachlorobenzene",130.7,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c(Cl)c([H])c(Cl)c(Cl)c1Cl
metanetx.chemical:MNXM13821,"1,2,4,5-Tetrachlorobenzene",135.0,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c(Cl)c(Cl)c([H])c(Cl)c1Cl
metanetx.chemical:MNXM73137,Pentachlorobenzene,86.4,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
metanetx.chemical:MNXM56307,Hexachlorobenzene,46.0,7.0,0.25,14.0,298.15,1,Dolfing (1992),,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
metanetx.chemical:MNXM4328,3-Chlorobenzoate,-83.8,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1[H]
coco:COCOM00001,"2,3-Dichlorobenzoate",-148.3,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1Cl
metanetx.chemical:MNXM14140,"2,5-Dichlorobenzoate",-157.3,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1Cl
metanetx.chemical:MNXM34598,"2,6-Dichlorobenzoate",-141.2,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c(Cl)c([H])c([H])c([H])c1Cl
metanetx.chemical:MNXM14472,"3,4-Dichlorobenzoate",-142.8,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c(Cl)c(Cl)c1[H]
coco:COCOM00002,"3,5-Dichlorobenzoate",-152.1,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1[H]
coco:COCOM00003,"2,3,5-Trichlorobenzoate",-212.7,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1Cl
coco:COCOM00004,"3,4,5-Trichlorobenzoate",-200.9,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c(Cl)c(Cl)c(Cl)c1[H]
metanetx.chemical:MNXM14207,2-Bromobenzoate,-47.3,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Br
coco:COCOM00005,3-Bromobenzoate,-40.8,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c(Br)c1[H]
metanetx.chemical:MNXM37357,4-Bromobenzoate,-34.1,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c(Br)c([H])c1[H]
metanetx.chemical:MNXM14271,2-Iodobenzoate,15.7,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1I
coco:COCOM00006,3-Iodobenzoate,18.1,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c(I)c1[H]
metanetx.chemical:MNXM37572,4-Iodobenzoate,20.9,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c(I)c([H])c1[H]
coco:COCOM00007,2-Amino-5-chlorobenzoate,-12.6,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1N([H])[H]
coco:COCOM00008,2-Hydroxy-5-chlorobenzoate,-246.7,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1O[H]
coco:COCOM00009,2-Methyl-5-chlorobenzoate,6.6,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1C([H])([H])[H]
metanetx.chemical:MNXM5084,Chloromethane,69.5,7.0,0.25,14.0,298.15,0,Dolfing (1994),,[H]C([H])([H])Cl
metanetx.chemical:MNXM11523,Ethane,227.0,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM32005,"1,1,2,2-Tetrachloroethane",-7.4,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C(Cl)(Cl)C([H])(Cl)Cl
metanetx.chemical:MNXM78182,Propane,318.6,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM165478,1-Chloropropane,240.5,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])C([H])([H])Cl
metanetx.chemical:MNXM165425,"1,3-Dichloropropane",164.1,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])(Cl)C([H])([H])C([H])([H])Cl
metanetx.chemical:MNXM44968,Butane,407.2,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM165476,1-Chlorobutane,334.9,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl
coco:COCOM00010,2-Chlorobutane,321.1,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])C([H])(Cl)C([H])([H])[H]
metanetx.chemical:MNXM73202,Pentane,498.2,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM504217,1-Chloropentane,418.6,7.0,0.25,14.0,298.15,1,Dolfing (1994),,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl
coco:COCOM00011,CH3NHp,444.0,7.0,0.25,14.0,298.15,0,Wagman (1982),,[H]C([H])([H])[N+]([O-])(C([H])([H])[H])C([H])([H])[H]
metanetx.chemical:MNXM745,DMSO,,,,,,0,,Placeholder just to tell CC not to try to decompose this compound,[H]C([H])([H])[S+]([O-])C([H])([H])[H]
metanetx.chemical:MNXM148,reduced thioredoxin,,,,,,0,,Placeholder just to tell CC not to try to decompose this compound,[H]C(=O)C1([H])N([H])C(=O)C([H])([H])N([H])C(=O)C([H])([H])N([H])C(=O)C([H])(N([H])[H])C([H])([H])SSC1([H])[H]
metanetx.chemical:MNXM96993,oxidized thioredoxin,,,,,,0,,Placeholder just to tell CC not to try to decompose this compound,[H]SC([H])([H])C([H])(C(=O)N([H])C([H])([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(C([H])=O)C([H])([H])S[H])N([H])[H]
